institution,unique_trials,unique_zips,inst_density_pct
Houston Methodist Hospital,7,1,4.242424242424243
Banner MD Anderson Cancer Center,5,1,3.0303030303030303
Cedars-Sinai Medical Center,4,1,2.4242424242424243
Colorado Blood Cancer Institute,4,1,2.4242424242424243
City of Hope Medical Center,4,1,2.4242424242424243
City of Hope,4,1,2.4242424242424243
Stanford University,4,2,2.4242424242424243
Texas Transplant Institute,4,1,2.4242424242424243
Memorial Sloan Kettering Cancer Center,3,1,1.8181818181818181
MD Anderson Cancer Center,3,1,1.8181818181818181
