institution,n_site_zips_for_inst,covered_population,covered_population_M,covered_population_share_%
Research Site,41,113975421.0,113.975421,34.06418012131059
University of California,3,17142221.0,17.142221,5.123347636709436
Memorial Sloan Kettering Cancer Center,3,15896769.0,15.896769,4.75111561608416
Weill Cornell Medical College - NY Presbyterian Hospital,1,15758304.0,15.758304,4.709732161132962
Memorial Sloan Kettering Cancer Center (MSKCC) David H. Koch Center for Cancer Care at Memorial Sloan Kettering Cancer Center,1,15758304.0,15.758304,4.709732161132962
Weill Cornell Medicine - New York Presbyterian Hosptial,1,15758304.0,15.758304,4.709732161132962
Local Institution - 0229,1,15727376.0,15.727376,4.7004886158707615
Memorial Sloan Kettering Cancer Center (All Protocol Activities),1,15727376.0,15.727376,4.7004886158707615
Memorial Sloan Kettering Cancer Center (All protocol activites),1,15727376.0,15.727376,4.7004886158707615
Memorial Sloan Kettering Comprehensive Cancer Center,1,15727376.0,15.727376,4.7004886158707615
Weill Medical College of Cornell University,1,15727376.0,15.727376,4.7004886158707615
Laura and Isaac Perlmutter Cancer Center,1,15696898.0,15.696898,4.69137956347483
NYU Langone Medical Center,1,15696898.0,15.696898,4.69137956347483
NYU Grossman School of Medicine,1,15696898.0,15.696898,4.69137956347483
NYU Langone Health,1,15696898.0,15.696898,4.69137956347483
Nyu Langone Health,1,15696898.0,15.696898,4.69137956347483
Laura & Isaac Perlmutter Cancer Center at NYU Langone Health,1,15696898.0,15.696898,4.69137956347483
Icahn School of Medicine at Mount Sinai,1,15670932.0,15.670932,4.683619026218031
City of Hope,3,15580034.0,15.580034,4.656452064977616
Columbia University Irving Medical Center/New York Presbyterian Hospital,1,15579859.0,15.579859,4.656399762196289
Columbia University Irving Medical Center and New York-Presbyterian Hospital,1,15579859.0,15.579859,4.656399762196289
Local Institution - 0009,1,15579859.0,15.579859,4.656399762196289
Columbia University Irving Medical Center,1,15579859.0,15.579859,4.656399762196289
Montefiore Einstein Comprehensive Cancer Center,1,15475865.0,15.475865,4.625318759674389
Albert Einstein Health Network,1,15475865.0,15.475865,4.625318759674389
Montefiore Medical Center,1,15455403.0,15.455403,4.619203219608586
Hackensack Meridian John Theurer Cancer Center,1,15317855.0,15.317855,4.578093831231543
Hackensack Meridian Health,1,15317855.0,15.317855,4.578093831231543
Hackensack Medical Center,1,15317855.0,15.317855,4.578093831231543
Hackensack,1,15317855.0,15.317855,4.578093831231543
John Theurer Cancer Center at Hackensack University Medical Center,1,15317855.0,15.317855,4.578093831231543
John Theurer Cancer Center Hackensack University Medical Center,1,15317855.0,15.317855,4.578093831231543
John Theurer Cancer Center,1,15317855.0,15.317855,4.578093831231543
Memorial Sloan Kettering Nassau (Limited Protocol Activities),1,13056169.0,13.056169,3.9021368695823604
Memorial Sloan Kettering Nassau (Limited Protocol Activites),1,13056169.0,13.056169,3.9021368695823604
