institution,n_site_zips_for_inst,covered_population,covered_population_M,covered_population_share_%,n_trials,pct_of_unique_trials
City of Hope Medical Center,1,10820250.0,10.82025,3.2338809694557824,15,9.090909090909092
Texas Children's Hospital,1,6094843.0,6.094843,1.821584232297848,14,8.484848484848484
Memorial Sloan Kettering Cancer Center,3,15896769.0,15.896769,4.75111561608416,11,6.666666666666667
Moffitt Cancer Center,2,3297357.0,3.297357,0.9854910978768338,11,6.666666666666667
Houston Methodist Hospital,1,6094843.0,6.094843,1.821584232297848,10,6.0606060606060606
MD Anderson Cancer Center,1,6094843.0,6.094843,1.821584232297848,9,5.454545454545454
Stanford University,2,4961599.0,4.961599,1.4828881573134485,9,5.454545454545454
Banner MD Anderson Cancer Center,1,3394667.0,3.394667,1.0145744330250737,9,5.454545454545454
St. Jude Children's Research Hospital,1,1232446.0,1.232446,0.36834487791704457,9,5.454545454545454
Children's Hospital of Philadelphia,2,6471681.0,6.471681,1.9342109494964135,8,4.848484848484849
