institution,n_trials,pct_of_unique_trials
City of Hope Medical Center,15,9.090909090909092
Texas Children's Hospital,14,8.484848484848484
Memorial Sloan Kettering Cancer Center,11,6.666666666666667
Moffitt Cancer Center,11,6.666666666666667
Houston Methodist Hospital,10,6.0606060606060606
Banner MD Anderson Cancer Center,9,5.454545454545454
MD Anderson Cancer Center,9,5.454545454545454
Stanford University,9,5.454545454545454
St. Jude Children's Research Hospital,9,5.454545454545454
Children's Hospital of Philadelphia,8,4.848484848484849
University of Pennsylvania,8,4.848484848484849
Dana-Farber Cancer Institute,7,4.242424242424242
Colorado Blood Cancer Institute,7,4.242424242424242
City of Hope,7,4.242424242424242
Huntsman Cancer Institute,6,3.6363636363636362
Massachusetts General Hospital,6,3.6363636363636362
Memorial Sloan Kettering Bergen (Limited Protocol Activities),5,3.0303030303030303
Seattle Children's Hospital,5,3.0303030303030303
Fred Hutchinson Cancer Center,5,3.0303030303030303
University of Iowa,5,3.0303030303030303
Swedish Cancer Institute,5,3.0303030303030303
The University of Texas MD Anderson Cancer Center,5,3.0303030303030303
Memorial Sloan Kettering Westchester (Limited Protocol Activities),5,3.0303030303030303
Washington University School of Medicine,5,3.0303030303030303
Mayo Clinic,5,3.0303030303030303
University of Chicago,4,2.4242424242424243
Cedars-Sinai Medical Center,4,2.4242424242424243
Tennessee Oncology,4,2.4242424242424243
Mayo Clinic in Florida,4,2.4242424242424243
Memorial Sloan Kettering at Basking Ridge (Limited Protocol Activities),4,2.4242424242424243
Research Site,4,2.4242424242424243
University of California,4,2.4242424242424243
Virginia Oncology Associates,4,2.4242424242424243
Mayo Clinic in Rochester,4,2.4242424242424243
Indiana University Melvin and Bren Simon Comprehensive Cancer Center,4,2.4242424242424243
Tufts Medical Center,4,2.4242424242424243
Texas Transplant Institute,4,2.4242424242424243
Northside Hospital,4,2.4242424242424243
Rutgers Cancer Institute of New Jersey,3,1.8181818181818181
Fred Hutch Cancer Center,3,1.8181818181818181
Winship Cancer Institute of Emory University,3,1.8181818181818181
Medical College of Wisconsin,3,1.8181818181818181
University of Colorado Hospital,3,1.8181818181818181
University of Miami Sylvester Comprehensive Cancer Center,3,1.8181818181818181
Fred Hutch/University of Washington Cancer Consortium,3,1.8181818181818181
Norton Cancer Institute,3,1.8181818181818181
Icahn School of Medicine at Mount Sinai,3,1.8181818181818181
Riley Hospital for Children,3,1.8181818181818181
Winship Cancer Institute,3,1.8181818181818181
Froedtert & the Medical College of Wisconsin,3,1.8181818181818181
St. David's South Austin Medical Center,3,1.8181818181818181
University of Kansas Cancer Center,3,1.8181818181818181
Oregon Health and Science University,3,1.8181818181818181
University of Minnesota,3,1.8181818181818181
Washington University,3,1.8181818181818181
Memorial Sloan Kettering Nassau (Limited Protocol Activities),3,1.8181818181818181
Oncology Hematology Care,3,1.8181818181818181
Memorial Sloan Kettering Cancer Center (All Protocol Activities),3,1.8181818181818181
Beth Israel Deaconess Medical Center,3,1.8181818181818181
Memorial Sloan Kettering Monmouth (Limited Protocol Activities),3,1.8181818181818181
City of Hope Comprehensive Cancer Center,3,1.8181818181818181
Children's Hospital Los Angeles,3,1.8181818181818181
Ohio State University Comprehensive Cancer Center,3,1.8181818181818181
Massachusetts General Hospital Cancer Center,2,1.2121212121212122
UCLA Medical Center,2,1.2121212121212122
Indiana Blood and Marrow Transplantation,2,1.2121212121212122
Memorial Sloan Kettering Nassau (Limited Protocol Activites),2,1.2121212121212122
Montefiore Medical Center,2,1.2121212121212122
Memorial Sloan Kettering Monmouth (Limited protocol activities),2,1.2121212121212122
Thomas Jefferson University,2,1.2121212121212122
MD Anderson,2,1.2121212121212122
Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities),2,1.2121212121212122
Karmanos Cancer Institute,2,1.2121212121212122
University of Chicago Medical Center,2,1.2121212121212122
UT Southwestern Medical Center,2,1.2121212121212122
Miami Cancer Institute at Baptist Health,2,1.2121212121212122
MedStar Georgetown University Hospital,2,1.2121212121212122
The University of Kansas Cancer Center,2,1.2121212121212122
Levine Cancer Institute,2,1.2121212121212122
University of California Davis Comprehensive Cancer Center,2,1.2121212121212122
Mayo Clinic Rochester,2,1.2121212121212122
University of Arkansas,2,1.2121212121212122
