cancer_type,NCT Number,Study Title,Sponsor,Phases,Enrollment,Funder Type,Locations,Study Documents,Zipcode
solid,NCT07087002,GPC2-CAR T Cell Therapy for Relapsed or Refractory Medulloblastoma in Children and Young Adults,Stanford University,PHASE1,18,OTHER,"Lucile Packard Children's Hospital Stanford, Palo Alto, California, 94304, United States",,94304
solid,NCT07007117,PHOX2B PC-CAR T Cells for Relapsed Neuroblastoma,Stephan Grupp MD PhD,PHASE1,38,OTHER,"Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States",,19104
solid,NCT05650749,GPC2 CAR T Cells for Relapsed or Refractory Neuroblastoma and Metastatic Retinoblastoma,Stephan Grupp MD PhD,PHASE1,45,OTHER,"Children's Hospital of Philadelphia, Philadelphia, Pennsylvania, 19104, United States",,19104
solid,NCT04185038,Study of B7-H3-Specific CAR T Cell Locoregional Immunotherapy for Diffuse Intrinsic Pontine Glioma/Diffuse Midline Glioma and Recurrent or Refractory Pediatric Central Nervous System Tumors,Seattle Children's Hospital,PHASE1,90,OTHER,"Seattle Children's Hospital, Seattle, Washington, 98105, United States",,98105
solid,NCT07172958,Selective Antigen Specific T Cells and CAR T Cells in Subjects With Relapsed/Refractory Embryonal Tumors (SABRE),Children's National Research Institute,PHASE1,18,OTHER,"Childrens National Hospital, Washington D.C., District of Columbia, 20010, United States",,20010
solid,NCT06198296,Immunotherapy For Adults With GPC3-Positive Solid Tumors Using IL-15 and IL-21 Armored GPC3-CAR T Cells,Baylor College of Medicine,PHASE1,21,OTHER,"Houston Methodist Hospital, Houston, Texas, 77030, United States",,77030
solid,NCT07116057,MOv19-BBz CAR T Cells in FRa+ Cancers,University of Pennsylvania,PHASE1,10,OTHER,"University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States",,19104
solid,NCT06055439,"A Phase 1/2 Study to Evaluate CHM-2101, an Autologous Cadherin 17 Chimeric Antigen Receptor (CAR) T Cell Therapy",Chimeric Therapeutics,PHASE1|PHASE2,135,INDUSTRY,"Emory University, Atlanta, Georgia, 30322, United States|University of Chicago, Chicago, Illinois, 60637, United States|University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|Sarah Cannon Research Institute, Nashville, Tennessee, 37203, United States",,30322
solid,NCT06055439,"A Phase 1/2 Study to Evaluate CHM-2101, an Autologous Cadherin 17 Chimeric Antigen Receptor (CAR) T Cell Therapy",Chimeric Therapeutics,PHASE1|PHASE2,135,INDUSTRY,"Emory University, Atlanta, Georgia, 30322, United States|University of Chicago, Chicago, Illinois, 60637, United States|University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|Sarah Cannon Research Institute, Nashville, Tennessee, 37203, United States",,60637
solid,NCT06055439,"A Phase 1/2 Study to Evaluate CHM-2101, an Autologous Cadherin 17 Chimeric Antigen Receptor (CAR) T Cell Therapy",Chimeric Therapeutics,PHASE1|PHASE2,135,INDUSTRY,"Emory University, Atlanta, Georgia, 30322, United States|University of Chicago, Chicago, Illinois, 60637, United States|University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|Sarah Cannon Research Institute, Nashville, Tennessee, 37203, United States",,19104
solid,NCT06055439,"A Phase 1/2 Study to Evaluate CHM-2101, an Autologous Cadherin 17 Chimeric Antigen Receptor (CAR) T Cell Therapy",Chimeric Therapeutics,PHASE1|PHASE2,135,INDUSTRY,"Emory University, Atlanta, Georgia, 30322, United States|University of Chicago, Chicago, Illinois, 60637, United States|University of Pennsylvania, Philadelphia, Pennsylvania, 19104, United States|Sarah Cannon Research Institute, Nashville, Tennessee, 37203, United States",,37203
solid,NCT05103631,Interleukin-15 Armored Glypican 3-specific Chimeric Antigen Receptor Expressed in Autologous T Cells for Solid Tumors,Baylor College of Medicine,PHASE1,27,OTHER,"Houston Methodist Hospital, Houston, Texas, 77030, United States",,77030
solid,NCT06623396,A Study of Mesothelin-Targeted CAR T-Cell Therapy in People With Esophagogastric Cancer,Memorial Sloan Kettering Cancer Center,PHASE1,18,OTHER,"Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited protocol activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activities), New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States",,07920
solid,NCT06623396,A Study of Mesothelin-Targeted CAR T-Cell Therapy in People With Esophagogastric Cancer,Memorial Sloan Kettering Cancer Center,PHASE1,18,OTHER,"Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited protocol activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activities), New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States",,07748
solid,NCT06623396,A Study of Mesothelin-Targeted CAR T-Cell Therapy in People With Esophagogastric Cancer,Memorial Sloan Kettering Cancer Center,PHASE1,18,OTHER,"Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited protocol activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activities), New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States",,07645
solid,NCT06623396,A Study of Mesothelin-Targeted CAR T-Cell Therapy in People With Esophagogastric Cancer,Memorial Sloan Kettering Cancer Center,PHASE1,18,OTHER,"Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited protocol activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activities), New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States",,11725
solid,NCT06623396,A Study of Mesothelin-Targeted CAR T-Cell Therapy in People With Esophagogastric Cancer,Memorial Sloan Kettering Cancer Center,PHASE1,18,OTHER,"Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited protocol activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activities), New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States",,10604
solid,NCT06623396,A Study of Mesothelin-Targeted CAR T-Cell Therapy in People With Esophagogastric Cancer,Memorial Sloan Kettering Cancer Center,PHASE1,18,OTHER,"Memorial Sloan Kettering Basking Ridge (Limited Protocol Activities), Basking Ridge, New Jersey, 07920, United States|Memorial Sloan Kettering Monmouth (Limited protocol activities), Middletown, New Jersey, 07748, United States|Memorial Sloan Kettering Bergen (Limited Protocol Activities), Montvale, New Jersey, 07645, United States|Memorial Sloan Kettering Suffolk - Commack (Limited Protocol Activities), Commack, New York, 11725, United States|Memorial Sloan Kettering Westchester (Limited Protocol Activities), Harrison, New York, 10604, United States|Memorial Sloan Kettering Cancer Center (All Protocol Activities), New York, New York, 10065, United States|Memorial Sloan Kettering Nassau (Limited Protocol Activities), Uniondale, New York, 11553, United States",,10065
